MSA,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Santa Barbara--Santa Maria--Lompoc, CA MSA",399347,401801.8,404256.6,406711.4,409166.2,411621,414075.8,416530.6,418985.4,421440.2,423895,145.9,146.81,147.72,148.63,149.54,150.45,151.36,152.27,153.18,154.09,155
"Santa Cruz--Watsonville, CA PMSA",255602,256280,256958,257636,258314,258992,259670,260348,261026,261704,262382,574.1,575.63,577.16,578.69,580.22,581.75,583.28,584.81,586.34,587.87,589.4
"Santa Fe, NM MSA",147635,147288.5,146942,146595.5,146249,145902.5,145556,145209.5,144863,144516.5,144170,73.1,73.34,73.58,73.82,74.06,74.3,74.54,74.78,75.02,75.26,75.5
"Santa Rosa, CA PMSA",458614,461140.4,463666.8,466193.2,468719.6,471246,473772.4,476298.8,478825.2,481351.6,483878,291,292.61,294.22,295.83,297.44,299.05,300.66,302.27,303.88,305.49,307.1
"Sarasota--Bradenton, FL MSA",589959,530963.1,471967.2,412971.3,353975.4,294979.5,235983.6,176987.7,117991.8,58995.9,,449.5,404.55,359.6,314.65,269.7,224.75,179.8,134.85,89.9,44.95,
"Savannah, GA MSA",293000,298461.1,303922.2,309383.3,314844.4,320305.5,325766.6,331227.7,336688.8,342149.9,347611,215.6,219.98,224.36,228.74,233.12,237.5,241.88,246.26,250.64,255.02,259.4
"Scranton--Wilkes-Barre--Hazleton, PA MSA",624776,618661.5,612547,606432.5,600318,594203.5,588089,581974.5,575860,569745.5,563631,279.9,284.18,288.46,292.74,297.02,301.3,305.58,309.86,314.14,318.42,322.7
"Seattle--Bellevue--Everett, WA PMSA",2414616,2517135.3,2619654.6,2722173.9,2824693.2,2927212.5,3029731.8,3132251.1,3234770.4,3337289.7,3439809,545.9,549.89,553.88,557.87,561.86,565.85,569.84,573.83,577.82,581.81,585.8
"Seattle--Tacoma--Bremerton, WA CMSA",3554760,3199284,2843808,2488332,2132856,1777380,1421904,1066428,710952,355476,,492,442.8,393.6,344.4,295.2,246,196.8,147.6,98.4,49.2,
"Sharon, PA MSA",120293,108263.7,96234.4,84205.1,72175.8,60146.5,48117.2,36087.9,24058.6,12029.3,,179.1,161.19,143.28,125.37,107.46,89.55,71.64,53.73,35.82,17.91,
"Sheboygan, WI MSA",112646,112932.1,113218.2,113504.3,113790.4,114076.5,114362.6,114648.7,114934.8,115220.9,115507,219.3,219.96,220.62,221.28,221.94,222.6,223.26,223.92,224.58,225.24,225.9
"Sherman--Denison, TX MSA",110595,111623.2,112651.4,113679.6,114707.8,115736,116764.2,117792.4,118820.6,119848.8,120877,118.5,119.61,120.72,121.83,122.94,124.05,125.16,126.27,127.38,128.49,129.6
"Shreveport--Bossier City, LA MSA",392302,392932.2,393562.4,394192.6,394822.8,395453,396083.2,396713.4,397343.6,397973.8,398604,169.4,167.83,166.26,164.69,163.12,161.55,159.98,158.41,156.84,155.27,153.7
"Sioux City, IA--NE MSA",124130,126074.7,128019.4,129964.1,131908.8,133853.5,135798.2,137742.9,139687.6,141632.3,143577,109.2,105.2,101.2,97.2,93.2,89.2,85.2,81.2,77.2,73.2,69.2
"Sioux Falls, SD MSA",172412,177996.9,183581.8,189166.7,194751.6,200336.5,205921.4,211506.3,217091.2,222676.1,228261,124.2,120.64,117.08,113.52,109.96,106.4,102.84,99.28,95.72,92.16,88.6
"South Bend, IN MSA",265559,270925.5,276292,281658.5,287025,292391.5,297758,303124.5,308491,313857.5,319224,580.7,556.31,531.92,507.53,483.14,458.75,434.36,409.97,385.58,361.19,336.8
"Spokane, WA MSA",417939,423267.2,428595.4,433923.6,439251.8,444580,449908.2,455236.4,460564.6,465892.8,471221,237,240.02,243.04,246.06,249.08,252.1,255.12,258.14,261.16,264.18,267.2
"Springfield, IL MSA",201437,202310.3,203183.6,204056.9,204930.2,205803.5,206676.8,207550.1,208423.4,209296.7,210170,170.4,171.13,171.86,172.59,173.32,174.05,174.78,175.51,176.24,176.97,177.7
"Springfield, MA MSA",591932,602033,612134,622235,632336,642437,652538,662639,672740,682841,692942,804.7,761.81,718.92,676.03,633.14,590.25,547.36,504.47,461.58,418.69,375.8
"Springfield, MO MSA",325721,336820.1,347919.2,359018.3,370117.4,381216.5,392315.6,403414.7,414513.8,425612.9,436712,177.8,174.54,171.28,168.02,164.76,161.5,158.24,154.98,151.72,148.46,145.2
"St. Cloud, MN MSA",167392,169562.1,171732.2,173902.3,176072.4,178242.5,180412.6,182582.7,184752.8,186922.9,189093,95.5,96.75,98,99.25,100.5,101.75,103,104.25,105.5,106.75,108
"St. Joseph, MO MSA",102490,104973.9,107457.8,109941.7,112425.6,114909.5,117393.4,119877.3,122361.2,124845.1,127329,121.3,116.86,112.42,107.98,103.54,99.1,94.66,90.22,85.78,81.34,76.9
"St. Louis, MO--IL MSA",2603607,2624535.9,2645464.8,2666393.7,2687322.6,2708251.5,2729180.4,2750109.3,2771038.2,2791967.1,2812896,407.3,399.19,391.08,382.97,374.86,366.75,358.64,350.53,342.42,334.31,326.2
"Stamford--Norwalk, CT PMSA",353556,318200.4,282844.8,247489.2,212133.6,176778,141422.4,106066.8,70711.2,35355.6,,1682.7,1514.43,1346.16,1177.89,1009.62,841.35,673.08,504.81,336.54,168.27,
"State College, PA MSA",135758,137581.2,139404.4,141227.6,143050.8,144874,146697.2,148520.4,150343.6,152166.8,153990,122.6,124.21,125.82,127.43,129.04,130.65,132.26,133.87,135.48,137.09,138.7
"Steubenville--Weirton, OH--WV MSA",132008,131252.6,130497.2,129741.8,128986.4,128231,127475.6,126720.2,125964.8,125209.4,124454,227.1,225.84,224.58,223.32,222.06,220.8,219.54,218.28,217.02,215.76,214.5
"Stockton--Lodi, CA MSA",563598,575768.8,587939.6,600110.4,612281.2,624452,636622.8,648793.6,660964.4,673135.2,685306,402.8,411.78,420.76,429.74,438.72,447.7,456.68,465.66,474.64,483.62,492.6
"Sumter, SC MSA",104646,104927,105208,105489,105770,106051,106332,106613,106894,107175,107456,157.3,157.73,158.16,158.59,159.02,159.45,159.88,160.31,160.74,161.17,161.6
"Syracuse, NY MSA",732117,725163,718209,711255,704301,697347,690393,683439,676485,669531,662577,237.5,241.53,245.56,249.59,253.62,257.65,261.68,265.71,269.74,273.77,277.8
"Tacoma, WA PMSA",700820,630738,560656,490574,420492,350410,280328,210246,140164,70082,,417.4,375.66,333.92,292.18,250.44,208.7,166.96,125.22,83.48,41.74,
"Tallahassee, FL MSA",284539,292826.4,301113.8,309401.2,317688.6,325976,334263.4,342550.8,350838.2,359125.6,367413,240.5,231.84,223.18,214.52,205.86,197.2,188.54,179.88,171.22,162.56,153.9
"Tampa--St. Petersburg--Clearwater, FL MSA",2395997,2434721.6,2473446.2,2512170.8,2550895.4,2589620,2628344.6,2667069.2,2705793.8,2744518.4,2783243,938.1,955.02,971.94,988.86,1005.78,1022.7,1039.62,1056.54,1073.46,1090.38,1107.3
"Terre Haute, IN MSA",149192,151515.3,153838.6,156161.9,158485.2,160808.5,163131.8,165455.1,167778.4,170101.7,172425,146.6,143.71,140.82,137.93,135.04,132.15,129.26,126.37,123.48,120.59,117.7
"Texarkana, TX--Texarkana, AR MSA",129749,130376.8,131004.6,131632.4,132260.2,132888,133515.8,134143.6,134771.4,135399.2,136027,85.8,86.22,86.64,87.06,87.48,87.9,88.32,88.74,89.16,89.58,90
"Toledo, OH MSA",618203,621525.6,624848.2,628170.8,631493.4,634816,638138.6,641461.2,644783.8,648106.4,651429,453,447.95,442.9,437.85,432.8,427.75,422.7,417.65,412.6,407.55,402.5
"Topeka, KS MSA",169871,176270.9,182670.8,189070.7,195470.6,201870.5,208270.4,214670.3,221070.2,227470.1,233870,309,285.33,261.66,237.99,214.32,190.65,166.98,143.31,119.64,95.97,72.3
"Trenton, NJ PMSA",350761,352336.2,353911.4,355486.6,357061.8,358637,360212.2,361787.4,363362.6,364937.8,366513,1552.5,1560.47,1568.44,1576.41,1584.38,1592.35,1600.32,1608.29,1616.26,1624.23,1632.2
"Tucson, AZ MSA",843746,857397.7,871049.4,884701.1,898352.8,912004.5,925656.2,939307.9,952959.6,966611.3,980263,91.8,93.29,94.78,96.27,97.76,99.25,100.74,102.23,103.72,105.21,106.7
"Tulsa, OK MSA",803235,816659.3,830083.6,843507.9,856932.2,870356.5,883780.8,897205.1,910629.4,924053.7,937478,160.2,159.13,158.06,156.99,155.92,154.85,153.78,152.71,151.64,150.57,149.5
"Tuscaloosa, AL MSA",164875,170333.6,175792.2,181250.8,186709.4,192168,197626.6,203085.2,208543.8,214002.4,219461,124.5,120.45,116.4,112.35,108.3,104.25,100.2,96.15,92.1,88.05,84
"Tyler, TX MSA",174706,178206.8,181707.6,185208.4,188709.2,192210,195710.8,199211.6,202712.4,206213.2,209714,188.2,192.14,196.08,200.02,203.96,207.9,211.84,215.78,219.72,223.66,227.6
"Utica--Rome, NY MSA",299896,299846.1,299796.2,299746.3,299696.4,299646.5,299596.6,299546.7,299496.8,299446.9,299397,114.3,114.28,114.26,114.24,114.22,114.2,114.18,114.16,114.14,114.12,114.1
"Vallejo--Fairfield--Napa, CA PMSA",518821,508273.3,497725.6,487177.9,476630.2,466082.5,455534.8,444987.1,434439.4,423891.7,413344,327.8,345.32,362.84,380.36,397.88,415.4,432.92,450.44,467.96,485.48,503
"Ventura, CA PMSA",753197,677877.3,602557.6,527237.9,451918.2,376598.5,301278.8,225959.1,150639.4,75319.7,,408.2,367.38,326.56,285.74,244.92,204.1,163.28,122.46,81.64,40.82,
"Victoria, TX MSA",84088,87217.6,90347.2,93476.8,96606.4,99736,102865.6,105995.2,109124.8,112254.4,115384,95.3,90.92,86.54,82.16,77.78,73.4,69.02,64.64,60.26,55.88,51.5
"Vineland--Millville--Bridgeton, NJ PMSA",146438,147484,148530,149576,150622,151668,152714,153760,154806,155852,156898,299.3,301.81,304.32,306.83,309.34,311.85,314.36,316.87,319.38,321.89,324.4
"Visalia--Tulare--Porterville, CA MSA",368021,375436.8,382852.6,390268.4,397684.2,405100,412515.8,419931.6,427347.4,434763.2,442179,76.3,77.84,79.38,80.92,82.46,84,85.54,87.08,88.62,90.16,91.7
"Waco, TX MSA",213517,215655.9,217794.8,219933.7,222072.6,224211.5,226350.4,228489.3,230628.2,232767.1,234906,204.9,207.06,209.22,211.38,213.54,215.7,217.86,220.02,222.18,224.34,226.5
"Washington, DC--MD--VA--WV PMSA",4923153,4430837.7,3938522.4,3446207.1,2953891.8,2461576.5,1969261.2,1476945.9,984630.6,492315.3,,756.3,680.67,605.04,529.41,453.78,378.15,302.52,226.89,151.26,75.63,
"Washington--Baltimore, DC--MD--VA--WV CMSA",7608070,6847263,6086456,5325649,4564842,3804035,3043228,2282421,1521614,760807,,794.5,715.05,635.6,556.15,476.7,397.25,317.8,238.35,158.9,79.45,
"Waterbury, CT PMSA",228984,206085.6,183187.2,160288.8,137390.4,114492,91593.6,68695.2,45796.8,22898.4,,980.6,882.54,784.48,686.42,588.36,490.3,392.24,294.18,196.12,98.06,
"Waterloo--Cedar Falls, IA MSA",128012,131992.7,135973.4,139954.1,143934.8,147915.5,151896.2,155876.9,159857.6,163838.3,167819,225.7,214.29,202.88,191.47,180.06,168.65,157.24,145.83,134.42,123.01,111.6
"Wausau, WI MSA",125834,126656.9,127479.8,128302.7,129125.6,129948.5,130771.4,131594.3,132417.2,133240.1,134063,81.4,81.94,82.48,83.02,83.56,84.1,84.64,85.18,85.72,86.26,86.8
"West Palm Beach--Boca Raton, FL MSA",1131184,1018065.6,904947.2,791828.8,678710.4,565592,452473.6,339355.2,226236.8,113118.4,,573,515.7,458.4,401.1,343.8,286.5,229.2,171.9,114.6,57.3,
"Wheeling, WV--OH MSA",153172,152649.8,152127.6,151605.4,151083.2,150561,150038.8,149516.6,148994.4,148472.2,147950,161.1,160.67,160.24,159.81,159.38,158.95,158.52,158.09,157.66,157.23,156.8
"Wichita Falls, TX MSA",140518,141596.8,142675.6,143754.4,144833.2,145912,146990.8,148069.6,149148.4,150227.2,151306,91.4,97.28,103.16,109.04,114.92,120.8,126.68,132.56,138.44,144.32,150.2
"Wichita, KS MSA",545220,553004.1,560788.2,568572.3,576356.4,584140.5,591924.6,599708.7,607492.8,615276.9,623061,183.8,171.2,158.6,146,133.4,120.8,108.2,95.6,83,70.4,57.8
"Williamsport, PA MSA",120044,119650.7,119257.4,118864.1,118470.8,118077.5,117684.2,117290.9,116897.6,116504.3,116111,97.2,96.93,96.66,96.39,96.12,95.85,95.58,95.31,95.04,94.77,94.5
"Wilmington, NC MSA",233450,246336.5,259223,272109.5,284996,297882.5,310769,323655.5,336542,349428.5,362315,221.5,218.34,215.18,212.02,208.86,205.7,202.54,199.38,196.22,193.06,189.9
"Wilmington--Newark, DE--MD PMSA",586216,527594.4,468972.8,410351.2,351729.6,293108,234486.4,175864.8,117243.2,58621.6,,757,681.3,605.6,529.9,454.2,378.5,302.8,227.1,151.4,75.7,
"Worcester, MA--CT PMSA",511389,540105.3,568821.6,597537.9,626254.2,654970.5,683686.8,712403.1,741119.4,769835.7,798552,594.2,587.64,581.08,574.52,567.96,561.4,554.84,548.28,541.72,535.16,528.6
"Yakima, WA MSA",222581,224646,226711,228776,230841,232906,234971,237036,239101,241166,243231,51.8,52.28,52.76,53.24,53.72,54.2,54.68,55.16,55.64,56.12,56.6
"Yolo, CA PMSA",168660,151794,134928,118062,101196,84330,67464,50598,33732,16866,,166.5,149.85,133.2,116.55,99.9,83.25,66.6,49.95,33.3,16.65,
"York, PA MSA",381751,387073.1,392395.2,397717.3,403039.4,408361.5,413683.6,419005.7,424327.8,429649.9,434972,422.1,428,433.9,439.8,445.7,451.6,457.5,463.4,469.3,475.2,481.1
"Youngstown--Warren, OH MSA",594746,591848.7,588951.4,586054.1,583156.8,580259.5,577362.2,574464.9,571567.6,568670.3,565773,380.2,375.41,370.62,365.83,361.04,356.25,351.46,346.67,341.88,337.09,332.3
"Yuba City, CA MSA",139149,141923.3,144697.6,147471.9,150246.2,153020.5,155794.8,158569.1,161343.4,164117.7,166892,112.8,115.04,117.28,119.52,121.76,124,126.24,128.48,130.72,132.96,135.2
"Yuma, AZ MSA",160026,163598.5,167171,170743.5,174316,177888.5,181461,185033.5,188606,192178.5,195751,29,29.65,30.3,30.95,31.6,32.25,32.9,33.55,34.2,34.85,35.5
"Ames, IA MSA",,,,,,,,,,,89542,,,,,,,,,,,156.3
"Anderson, IN MSA",,,,,,,,,,,131636,,,,,,,,,,,291.3
"Anderson, SC MSA",,,,,,,,,,,187126,,,,,,,,,,,261.6
"Atlanta-Sandy Springs-Marietta, GA MSA",,,,,,,,,,,5268860,,,,,,,,,,,631.9
"Atlantic City-Hammonton, NJ MSA",,,,,,,,,,,274549,,,,,,,,,,,494.1
"Augusta-Richmond County, GA-SC MSA",,,,,,,,,,,556877,,,,,,,,,,,170.3
"Battle Creek, MI MSA",,,,,,,,,,,136146,,,,,,,,,,,192.8
"Bay City, MI MSA",,,,,,,,,,,107771,,,,,,,,,,,243.7
"Bend, OR MSA",,,,,,,,,,,157733,,,,,,,,,,,52.3
"Blacksburg-Christiansburg-Radford, VA MSA",,,,,,,,,,,162958,,,,,,,,,,,151.9
"Bowling Green, KY MSA",,,,,,,,,,,125953,,,,,,,,,,,149.1
"Bridgeport-Stamford-Norwalk, CT MSA",,,,,,,,,,,916829,,,,,,,,,,,1467.2
"Brunswick, GA MSA",,,,,,,,,,,112370,,,,,,,,,,,87.4
"Burlington-South Burlington, VT MSA",,,,,,,,,,,211261,,,,,,,,,,,168.7
"Cape Coral-Fort Myers, FL MSA",,,,,,,,,,,618754,,,,,,,,,,,788.7
"Cape Girardeau-Jackson, MO-IL MSA",,,,,,,,,,,96275,,,,,,,,,,,67.2
"Carson City, NV MSA",,,,,,,,,,,55274,,,,,,,,,,,382.1
"Chicago-Joliet-Naperville, IL-IN-WI MSA",,,,,,,,,,,9461105,,,,,,,,,,,1314.6
"Coeur d'Alene, ID MSA",,,,,,,,,,,138494,,,,,,,,,,,111.3
"College Station-Bryan, TX MSA",,,,,,,,,,,228660,,,,,,,,,,,108.9
"Columbus, IN MSA",,,,,,,,,,,76794,,,,,,,,,,,188.7
"Crestview-Fort Walton Beach-Destin, FL MSA",,,,,,,,,,,180822,,,,,,,,,,,194.4
"Dalton, GA MSA",,,,,,,,,,,142227,,,,,,,,,,,224
"Danville, IL MSA",,,,,,,,,,,81625,,,,,,,,,,,90.9
"Dayton, OH MSA",,,,,,,,,,,841502,,,,,,,,,,,493.3
"Deltona-Daytona Beach-Ormond Beach, FL MSA",,,,,,,,,,,494593,,,,,,,,,,,449.2
"Durham-Chapel Hill, NC MSA",,,,,,,,,,,504357,,,,,,,,,,,286.8
"El Centro, CA MSA",,,,,,,,,,,174528,,,,,,,,,,,41.8
"Elizabethtown, KY MSA",,,,,,,,,,,119736,,,,,,,,,,,135.3
"Fairbanks, AK MSA",,,,,,,,,,,97581,,,,,,,,,,,13.3
"Farmington, NM MSA",,,,,,,,,,,130044,,,,,,,,,,,23.6
"Fond du Lac, WI MSA",,,,,,,,,,,101633,,,,,,,,,,,141.2
"Gainesville, GA MSA",,,,,,,,,,,179684,,,,,,,,,,,457.5
"Grand Rapids-Wyoming, MI MSA",,,,,,,,,,,774160,,,,,,,,,,,278
"Greensboro-High Point, NC MSA",,,,,,,,,,,723801,,,,,,,,,,,363
"Greenville-Mauldin-Easley, SC MSA",,,,,,,,,,,636986,,,,,,,,,,,319.2
"Gulfport-Biloxi, MS MSA",,,,,,,,,,,248820,,,,,,,,,,,166.6
"Harrisonburg, VA MSA",,,,,,,,,,,125228,,,,,,,,,,,144.5
"Hinesville-Fort Stewart, GA MSA",,,,,,,,,,,77917,,,,,,,,,,,87.5
"Holland-Grand Haven, MI MSA",,,,,,,,,,,263801,,,,,,,,,,,468.2
"Hot Springs, AR MSA",,,,,,,,,,,96024,,,,,,,,,,,141.7
"Houma-Bayou Cane-Thibodaux, LA MSA",,,,,,,,,,,208178,,,,,,,,,,,90.5
"Idaho Falls, ID MSA",,,,,,,,,,,130374,,,,,,,,,,,44.1
"Ithaca, NY MSA",,,,,,,,,,,101564,,,,,,,,,,,214
"Jefferson City, MO MSA",,,,,,,,,,,149807,,,,,,,,,,,66.6
"Johnson City, TN MSA",,,,,,,,,,,198716,,,,,,,,,,,232.7
"Kennewick-Pasco-Richland, WA MSA",,,,,,,,,,,253340,,,,,,,,,,,86.1
"Kingsport-Bristol-Bristol, TN-VA MSA",,,,,,,,,,,309544,,,,,,,,,,,154
"Kingston, NY MSA",,,,,,,,,,,182493,,,,,,,,,,,162.3
"Lake Havasu City-Kingman, AZ MSA",,,,,,,,,,,200186,,,,,,,,,,,15
"Lebanon, PA MSA",,,,,,,,,,,133568,,,,,,,,,,,369.1
"Lewiston, ID-WA MSA",,,,,,,,,,,60888,,,,,,,,,,,41
"Logan, UT-ID MSA",,,,,,,,,,,125442,,,,,,,,,,,68.6
"Longview, WA MSA",,,,,,,,,,,102410,,,,,,,,,,,89.8
"Madera-Chowchilla, CA MSA",,,,,,,,,,,150865,,,,,,,,,,,70.6
"Manhattan, KS MSA",,,,,,,,,,,127081,,,,,,,,,,,69.2
"Mankato-North Mankato, MN MSA",,,,,,,,,,,96740,,,,,,,,,,,80.9
"Medford, OR MSA",,,,,,,,,,,203206,,,,,,,,,,,73
"Michigan City-La Porte, IN MSA",,,,,,,,,,,111467,,,,,,,,,,,186.3
"Midland, TX MSA",,,,,,,,,,,136872,,,,,,,,,,,152
"Monroe, MI MSA",,,,,,,,,,,152021,,,,,,,,,,,276.7
"Morgantown, WV MSA",,,,,,,,,,,129709,,,,,,,,,,,128.6
"Morristown, TN MSA",,,,,,,,,,,136608,,,,,,,,,,,190.8
"Mount Vernon-Anacortes, WA MSA",,,,,,,,,,,116901,,,,,,,,,,,67.5
"Napa, CA MSA",,,,,,,,,,,136484,,,,,,,,,,,182.4
"Niles-Benton Harbor, MI MSA",,,,,,,,,,,156813,,,,,,,,,,,276.2
"North Port-Bradenton-Sarasota, FL MSA",,,,,,,,,,,702281,,,,,,,,,,,540.7
"Norwich-New London, CT MSA",,,,,,,,,,,274055,,,,,,,,,,,412.2
"Ocean City, NJ MSA",,,,,,,,,,,97265,,,,,,,,,,,386.9
"Odessa, TX MSA",,,,,,,,,,,137130,,,,,,,,,,,152.8
"Ogden-Clearfield, UT MSA",,,,,,,,,,,547184,,,,,,,,,,,368.7
"Oshkosh-Neenah, WI MSA",,,,,,,,,,,166994,,,,,,,,,,,384.3
"Oxnard-Thousand Oaks-Ventura, CA MSA",,,,,,,,,,,823318,,,,,,,,,,,446.7
"Palm Bay-Melbourne-Titusville, FL MSA",,,,,,,,,,,543376,,,,,,,,,,,535
"Palm Coast, FL MSA",,,,,,,,,,,95696,,,,,,,,,,,197.1
"Pascagoula, MS MSA",,,,,,,,,,,162246,,,,,,,,,,,135
"Portland-South Portland-Biddeford, ME MSA",,,,,,,,,,,514098,,,,,,,,,,,247.2
"Port St. Lucie, FL MSA",,,,,,,,,,,424107,,,,,,,,,,,380.2
"Poughkeepsie-Newburgh-Middletown, NY MSA",,,,,,,,,,,670301,,,,,,,,,,,417
"Prescott, AZ MSA",,,,,,,,,,,211033,,,,,,,,,,,26
"Rome, GA MSA",,,,,,,,,,,96317,,,,,,,,,,,188.9
"St. George, UT MSA",,,,,,,,,,,138115,,,,,,,,,,,56.9
"Salisbury, MD MSA",,,,,,,,,,,125203,,,,,,,,,,,180.4
"Sandusky, OH MSA",,,,,,,,,,,77079,,,,,,,,,,,306.4
"Sebastian-Vero Beach, FL MSA",,,,,,,,,,,138028,,,,,,,,,,,274.5
"Spartanburg, SC MSA",,,,,,,,,,,284307,,,,,,,,,,,351.9
"Springfield, OH MSA",,,,,,,,,,,138333,,,,,,,,,,,348
"Valdosta, GA MSA",,,,,,,,,,,139588,,,,,,,,,,,87.8
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",,,,,,,,,,,1671683,,,,,,,,,,,635.7
"Warner Robins, GA MSA",,,,,,,,,,,139900,,,,,,,,,,,372.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",,,,,,,,,,,5582170,,,,,,,,,,,997.1
"Wenatchee-East Wenatchee, WA MSA",,,,,,,,,,,110884,,,,,,,,,,,23.4
"Winchester, VA-WV MSA",,,,,,,,,,,128472,,,,,,,,,,,120.9
"Winston-Salem, NC MSA",,,,,,,,,,,477717,,,,,,,,,,,328.1
"York-Hanover, PA MSA",,,,,,,,,,,434972,,,,,,,,,,,481.1
"Fajardo, PR MSA",,,,,,,,,,,70692,,,,,,,,,,,834.5
"Guayama, PR MSA",,,,,,,,,,,84214,,,,,,,,,,,664.7
"San Germán-Cabo Rojo, PR MSA",,,,,,,,,,,137462,,,,,,,,,,,623
"Yauco, PR MSA",,,,,,,,,,,107333,,,,,,,,,,,558.6
